,nombre,tipo,latitud_y,longitud_x,fuente
177,RENT APP ARTS,Private room,-34.58246,-58.41092,Airbnb
178,Lovely & Modern Apartment in Palerm,Entire home/apt,-34.581759999999996,-58.409459999999996,Airbnb
179,Modern apartment in Downtown Buenos Aires,Entire home/apt,-34.598040000000005,-58.37688000000001,Airbnb
180,At the heart of San Telmo  Double,Private room,-34.62063,-58.36966999999999,Airbnb
181,Double Room,Private room,-34.61375,-58.38604,Airbnb
182,Departamento de 2 ambientes en recoleta,Entire home/apt,-34.58742,-58.38437,Airbnb
183,♫ ♫ Harmony  - One-bedroom apartment,Entire home/apt,-34.59426,-58.40351999999999,Airbnb
184,Green Room,Private room,-34.61375,-58.38604,Airbnb
185,Blue Room,Private room,-34.61375,-58.38604,Airbnb
186,Beautiful apartment in Las Cañitas,Entire home/apt,-34.57014,-58.43176,Airbnb
187,"Big sunny, central Studio",Entire home/apt,-34.613659999999996,-58.38855,Airbnb
188,DONDE VIVI (2) Room for Rent/ Habitacion.,Private room,-34.60589,-58.42091,Airbnb
189,Beautiful Flat in the Sky of Bs.As.,Entire home/apt,-34.61227,-58.359919999999995,Airbnb
190,"Great Loft, Best Location (Palermo)",Entire home/apt,-34.576190000000004,-58.43631,Airbnb
191,"Stylish, Top Location, Doorman & Balcony",Entire home/apt,-34.59153,-58.392680000000006,Airbnb
192,Bright apartment with terrace,Entire home/apt,-34.602340000000005,-58.37738,Airbnb
193,One Bedroom Apt on Lavalleja St.,Entire home/apt,-34.60249,-58.4369,Airbnb
194,Beautiful studio in heart Recoleta,Entire home/apt,-34.5913,-58.39037,Airbnb
195,NICE STUDIO IN RECOLETA,Entire home/apt,-34.5866,-58.3961,Airbnb
196,Gourgeous furnished apartment,Entire home/apt,-34.59384,-58.41401,Airbnb
197,Amazing view - GREAT Studio - Balcony,Entire home/apt,-34.58104,-58.42544,Airbnb
198,"Palermo Soho Apartment, Balcony Views",Entire home/apt,-34.584959999999995,-58.427080000000004,Airbnb
199,Palermo Hollywood big priv Terrace,Entire home/apt,-34.5796,-58.4303,Airbnb
200,ART HOUSE PALERMO HOLLYWOOD 2 rooms,Entire home/apt,-34.57824,-58.42803000000001,Airbnb
201,ART HOUSE PALERMO HOLLYWOOD 3 rooms 8 to 12 people,Entire home/apt,-34.58028,-58.42801,Airbnb
202,Bonito Studio in Palermo w/balcony,Entire home/apt,-34.581109999999995,-58.424659999999996,Airbnb
203,Duplex Recoleta Beruti,Entire home/apt,-34.59348,-58.402680000000004,Airbnb
204,Amazing Palermo Hollywood Loft A,Entire home/apt,-34.57874,-58.4397,Airbnb
205,in Style Recoleta Buenos Aires 1,Entire home/apt,-34.59643,-58.39188000000001,Airbnb
206,Family Suite at Poetry Buenos Aires,Entire home/apt,-34.59333,-58.39694,Airbnb
207,Terrace Suite at Poetry Recoleta,Entire home/apt,-34.59333,-58.39694,Airbnb
208,Encantador Apartamento a pasos del Jardin Botanico,Entire home/apt,-34.583729999999996,-58.4185,Airbnb
209,"Luxury 1BDR APT w/POOL,GYM, SEC @",Entire home/apt,-34.57633,-58.42071,Airbnb
210,Apartment in the heart of Recoleta,Entire home/apt,-34.587070000000004,-58.395619999999994,Airbnb
211,LOVELY private room near Palermo,Private room,-34.59158,-58.44546999999999,Airbnb
212,San Telmo Barracas Design District!,Entire home/apt,-34.64419,-58.37696,Airbnb
213,Hollywood Loft - Palermo,Entire home/apt,-34.58318,-58.43246,Airbnb
214,EXCLUSIVE LOFT IN PALERMO HOLLYWOOD,Entire home/apt,-34.58153,-58.43334,Airbnb
215,Best Recoleta´s Loft. Arch Designer,Entire home/apt,-34.59321,-58.40081,Airbnb
216,Amazing Studio - Pool,Entire home/apt,-34.58808,-58.42146999999999,Airbnb
217,Beautiful Duplex Palermo Hollywood,Entire home/apt,-34.57855,-58.43244,Airbnb
218,HERMOSO DEPTO EN BUENOS AIRES!!,Entire home/apt,-34.61291,-58.49163000000001,Airbnb
219,STUDIO PARA 4 PERS. EN PALERMO,Entire home/apt,-34.59811,-58.438340000000004,Airbnb
220,Gorgeous Apartment-Best Location,Entire home/apt,-34.61019,-58.373259999999995,Airbnb
221,Amazing view - GREAT Studio - Balcony,Entire home/apt,-34.5813,-58.42544,Airbnb
222,Department - District Retirement,Entire home/apt,-34.59854,-58.38018,Airbnb
223,"Modern Appt. Buenos Aires, Recoleta",Entire home/apt,-34.59067,-58.39909,Airbnb
224,Beautiful Studio in Palermo,Entire home/apt,-34.60032,-58.41445,Airbnb
225,Modern studio in front of park,Entire home/apt,-34.5829,-58.40837,Airbnb
226,"PRIVATE BEDROOM KING BED,FOR ONE OR TWO, BATHROOM",Private room,-34.617340000000006,-58.4004,Airbnb
227,Sunrise River View 1-bedroom in Palermo,Entire home/apt,-34.58082,-58.422959999999996,Airbnb
228,PALERMO.Las Canitas Spacious Studio,Entire home/apt,-34.57215,-58.430780000000006,Airbnb
229,charming and fresh old style studio,Entire home/apt,-34.602109999999996,-58.394619999999996,Airbnb
230,PRIVATE BEDROOM  QUEEN BED plus one SINGLE BED,Private room,-34.6177,-58.40071999999999,Airbnb
231,"In the heart of Palermo, Soho Point",Entire home/apt,-34.59039,-58.42791,Airbnb
232,Sunny Studio Close to San Telmo,Entire home/apt,-34.61484,-58.382709999999996,Airbnb
233,Studio in Buenos Aires,Private room,-34.60625,-58.39294,Airbnb
234,Two bedrooms in Palermo Chico,Entire home/apt,-34.57999,-58.4078,Airbnb
235,Studio #Best Location #Monthly discount #WIFI+A/C,Entire home/apt,-34.59463,-58.404669999999996,Airbnb
236,Art House Palermo 2 rooms,Entire home/apt,-34.57835,-58.42913000000001,Airbnb
237,PALERMO HOLLYWOOD LOFT,Entire home/apt,-34.57959,-58.42925,Airbnb
238,LOFT Beautiful & cosy w/terrace ! Palermo - 65 mt2,Entire home/apt,-34.57845,-58.43065,Airbnb
239,In Style Recoleta Buenos Aires,Entire home/apt,-34.59643,-58.39188000000001,Airbnb
240,"23rd floor, Great view, Next to UB",Private room,-34.565709999999996,-58.44036,Airbnb
241,PRIVATE AND INDEPENDENT ROOM FULL,Private room,-34.601890000000004,-58.41409,Airbnb
242,Stay at Tango's heart.  Metro station,Entire home/apt,-34.59949,-58.416990000000006,Airbnb
243,"In the heart of Palermo, Soho Point",Hotel room,-34.591409999999996,-58.42803000000001,Airbnb
244,2 ambiente Palermo Soho Sol y paz cerca transporte,Entire home/apt,-34.58573,-58.42833,Airbnb
245,Espectacular Depto in Belgrano,Private room,-34.564040000000006,-58.476459999999996,Airbnb
246,Beautiful Recoleta Apt A/C Subway,Entire home/apt,-34.59168,-58.403580000000005,Airbnb
247,2 bedroom apt in  Palermo Hollywood,Entire home/apt,-34.582359999999994,-58.43515,Airbnb
248,APARTMENT IN  PARIS DE BUENOS AIRES,Entire home/apt,-34.5926,-58.39264,Airbnb
249,Soho Point in the heart of Palermo!,Entire home/apt,-34.58979,-58.428869999999996,Airbnb
